Lead Source,Lead Type,Lead Status Type,Year,Make,Model,Lead Origination Date
AutoTrader.com,Internet,Lost,2024,Jeep,Grand Cherokee,07/01/2025 18:44 tt
"Carfax, Inc",Internet,Lost,2018,Jeep,Grand Cherokee,07/01/2025 21:40 tt
"Carfax, Inc",Internet,Lost,,,,07/02/2025 10:30 tt
Truecar/Perkspot,Internet,Lost,2023,Dodge,Charger,07/03/2025 22:35 tt
AutoTrader.com,Internet,Lost,2018,Jeep,Grand Cherokee,07/04/2025 12:41 tt
"Carfax, Inc",Internet,Lost,2018,Jeep,Grand Cherokee,07/05/2025 06:13 tt
Cargurus,Internet,Bad,2021,Alfa Romeo,Giulia,07/07/2025 19:12 tt
AutoTrader.com,Internet,Lost,2018,GMC,Sierra 1500,07/07/2025 21:12 tt
AutoTrader.com,Internet,Bad,2011,GMC,Sierra 2500HD,07/07/2025 23:24 tt
"Carfax, Inc",Internet,Lost,2011,GMC,Sierra 2500HD,07/08/2025 14:12 tt
AutoTrader.com,Internet,Lost,,,,07/09/2025 08:28 tt
Truecar/Internet Brands,Internet,Lost,2023,Ford,Ranger,07/10/2025 07:37 tt
Dealeron,Internet,Bad,,,,07/10/2025 15:20 tt
Truecar/Truecar,Internet,Lost,2019,Lincoln,MKT,07/11/2025 04:23 tt
Accelerate Dr - Autotrader - Deal Events,Internet,Bad,2022,Dodge,Challenger,07/11/2025 13:53 tt
Truecar/Extended Network,Internet,Lost,2024,Chevrolet,Equinox,07/12/2025 10:28 tt
Cargurus,Internet,Lost,2011,GMC,Sierra 2500HD,07/12/2025 11:28 tt
Dealeron,Internet,Lost,,,,07/15/2025 15:01 tt
Dealeron - Get Eprice,Internet,Lost,2024,Jeep,Grand Cherokee,07/16/2025 22:05 tt
Gubagoo - Chat,Internet,Active,,,,07/17/2025 07:22 tt
Dealeron - Get Eprice,Internet,Bad,2024,Jeep,Grand Cherokee,07/17/2025 10:37 tt
"Carfax, Inc",Internet,Lost,,,,07/02/2025 14:39 tt
AutoTrader.com,Internet,Lost,2021,Jeep,Wrangler,07/03/2025 10:11 tt
"Carfax, Inc",Internet,Lost,2011,GMC,Sierra 2500HD,07/04/2025 16:26 tt
E-Shop - Dealer Site,Internet,Lost,2018,Jeep,Grand Cherokee,07/06/2025 01:58 tt
"Carfax, Inc",Internet,Lost,2011,GMC,Sierra 2500HD,07/07/2025 00:52 tt
"Carfax, Inc",Internet,Lost,2016,Lexus,RX 350,07/07/2025 07:06 tt
Cargurus,Internet,Lost,2021,Alfa Romeo,Giulia,07/07/2025 10:48 tt
"Carfax, Inc",Internet,Lost,2011,GMC,Sierra 2500HD,07/08/2025 13:41 tt
Dealeron,Internet,Lost,,,,07/09/2025 01:58 tt
AutoTrader.com,Internet,Lost,2020,Ram,1500,07/09/2025 12:12 tt
"Carfax, Inc",Internet,Lost,2018,GMC,Sierra 1500,07/10/2025 01:24 tt
AutoTrader.com,Internet,Bad,2022,Dodge,Challenger,07/11/2025 12:53 tt
AutoTrader.com,Internet,Sold,2018,Jeep,Grand Cherokee,07/11/2025 21:17 tt
Cargurus,Internet,Lost,2023,Jeep,Wrangler,07/12/2025 09:02 tt
AutoTrader.com,Internet,Sold,2018,Jeep,Grand Cherokee,07/12/2025 10:27 tt
"Carfax, Inc",Internet,Lost,2018,Jeep,Grand Cherokee,07/13/2025 19:16 tt
AutoTrader.com,Internet,Lost,2017,Jeep,Compass,07/14/2025 15:59 tt
AutoTrader.com,Internet,Lost,2020,Ram,1500,07/14/2025 20:04 tt
"Carfax, Inc",Internet,Active,2016,Lexus,RX 350,07/14/2025 20:22 tt
"Carfax, Inc",Internet,Lost,2018,Jeep,Grand Cherokee,07/20/2025 22:41 tt
Truecar/Us News,Internet,Lost,2019,Lincoln,MKT,07/03/2025 02:03 tt
Truecar/Progressive,Internet,Lost,2019,Lincoln,MKT,07/03/2025 12:30 tt
Dealeron,Internet,Lost,,,,07/04/2025 19:28 tt
"Carfax, Inc",Internet,Lost,,,,07/05/2025 16:28 tt
E-Shop - Dealer Site,Internet,Sold,2023,Chrysler,Pacifica,07/05/2025 19:01 tt
"Carfax, Inc",Internet,Lost,2011,GMC,Sierra 2500HD,07/06/2025 23:04 tt
Dealeron - Get Eprice,Internet,Lost,2021,Alfa Romeo,Giulia,07/07/2025 16:12 tt
AutoTrader.com,Internet,Lost,2011,GMC,Sierra 2500HD,07/07/2025 23:15 tt
Dealeron - Get Eprice,Internet,Lost,2011,GMC,Sierra 2500HD,07/08/2025 10:04 tt
AutoTrader.com,Internet,Sold,2022,Dodge,Challenger,07/08/2025 11:36 tt
Cargurus,Internet,Lost,2021,Alfa Romeo,Giulia,07/09/2025 12:54 tt
"Carfax, Inc",Internet,Lost,2021,Alfa Romeo,Giulia,07/09/2025 13:04 tt
"Carfax, Inc",Internet,Lost,2011,GMC,Sierra 2500HD,07/10/2025 04:04 tt
"Carfax, Inc",Internet,Lost,2018,GMC,Sierra 1500,07/11/2025 06:35 tt
AutoTrader.com,Internet,Lost,2020,BMW,X5,07/11/2025 14:07 tt
"Carfax, Inc",Internet,Lost,2016,Lexus,RX 350,07/11/2025 17:11 tt
"Carfax, Inc",Internet,Lost,2023,Ram,ProMaster Cargo Van,07/12/2025 04:09 tt
Truecar/Progressive,Internet,Lost,2024,Jeep,Grand Cherokee L,07/12/2025 05:34 tt
AutoTrader.com,Internet,Bad,2018,Jeep,Grand Cherokee,07/12/2025 10:37 tt
"Carfax, Inc",Internet,Lost,2018,Jeep,Grand Cherokee,07/12/2025 15:09 tt
Truecar/Perkspot,Internet,Lost,2022,Dodge,Charger,07/14/2025 13:20 tt
"Carfax, Inc",Internet,Lost,2024,Subaru,Outback,07/14/2025 21:06 tt
Referral,Internet,Lost,2016,Lexus,RX 350,07/15/2025 10:57 tt
"Carfax, Inc",Internet,Lost,2015,Jeep,Renegade,07/17/2025 23:29 tt
AutoTrader.com,Internet,Lost,2021,Jeep,Wrangler,07/18/2025 14:59 tt
Edmunds - Trade-In,Internet,Bad,2020,Chrysler,Pacifica,07/19/2025 08:57 tt
"Carfax, Inc",Internet,Lost,2012,Chevrolet,Camaro,07/19/2025 12:21 tt
Edmunds - Trade-In,Internet,Bad,2018,Jeep,Grand Cherokee,07/20/2025 22:51 tt
Dealeron,Internet,Lost,,,,07/22/2025 13:44 tt
"Carfax, Inc",Internet,Bad,2018,Jeep,Grand Cherokee,07/22/2025 18:17 tt
Dealeron - Get Eprice,Internet,Lost,2022,Chrysler,Pacifica,07/19/2025 05:54 tt
AutoTrader.com,Internet,Lost,2024,Jeep,Grand Cherokee,07/19/2025 10:04 tt
AutoTrader.com,Internet,Lost,2023,Ford,F-150,07/20/2025 21:46 tt
Gubagoo - Vehicle,Internet,Sold,2023,Ram,ProMaster Cargo Van,07/22/2025 17:00 tt
"Carfax, Inc",Internet,Bad,2018,Jeep,Grand Cherokee,07/22/2025 18:09 tt
"Carfax, Inc",Internet,Bad,2018,Jeep,Grand Cherokee,07/22/2025 23:20 tt
"Carfax, Inc",Internet,Lost,2024,Ford,Bronco,07/23/2025 19:44 tt
E-Shop - Customer Account - Help Me Find,Internet,Lost,2024,Jeep,Wrangler,07/24/2025 18:55 tt
"Carfax, Inc",Internet,Lost,1999,Plymouth,Prowler,07/25/2025 14:55 tt
"Carfax, Inc",Internet,Lost,2020,BMW,X5,07/26/2025 13:55 tt
AutoTrader.com,Internet,Lost,2016,Lexus,RX 350,07/27/2025 09:42 tt
"Carfax, Inc",Internet,Lost,2024,Toyota,4Runner,07/27/2025 15:19 tt
Dealeron,Internet,Lost,,,,07/30/2025 12:02 tt
"Carfax, Inc",Internet,Lost,,,,07/23/2025 10:02 tt
"Carfax, Inc",Internet,Lost,2017,Audi,allroad,07/24/2025 17:45 tt
E-Shop - Dealer Site,Internet,Bad,2024,Ford,Bronco,07/26/2025 00:06 tt
Edmunds - Trade-In,Internet,Lost,2019,Ram,1500,07/28/2025 12:06 tt
AutoTrader.com,Internet,Lost,2024,Ford,Bronco,07/28/2025 15:23 tt
AutoTrader.com,Internet,Lost,2024,Dodge,Hornet,07/31/2025 20:01 tt
"Carfax, Inc",Internet,Lost,2018,Nissan,Rogue,07/24/2025 21:53 tt
AutoTrader.com,Internet,Lost,2012,Chevrolet,Camaro,07/28/2025 10:19 tt
Dealeron,Internet,Lost,,,,07/28/2025 21:59 tt
Dealeron,Internet,Bad,,,,07/30/2025 13:35 tt
Gubagoo - Vehicle,Internet,Lost,2021,Ram,1500,07/05/2025 00:27 tt
Truecar/Truecar For Intuit Credit Karma Members,Internet,Lost,2011,GMC,Sierra 2500HD,07/05/2025 20:14 tt
"Carfax, Inc",Internet,Lost,2018,GMC,Sierra 1500,07/06/2025 16:26 tt
Cargurus,Internet,Lost,2019,Lincoln,MKT,07/08/2025 00:12 tt
Truecar/Navy Federal,Internet,Lost,2024,Ram,1500 Classic,07/08/2025 12:51 tt
Cargurus,Internet,Lost,2018,GMC,Sierra 1500,07/08/2025 20:34 tt
Cargurus,Internet,Lost,2011,GMC,Sierra 2500HD,07/08/2025 20:39 tt
Cargurus,Internet,Lost,2011,GMC,Sierra 2500HD,07/09/2025 06:34 tt
AutoTrader.com,Internet,Lost,2018,GMC,Sierra 1500,07/09/2025 15:20 tt
Dealeron - Get Eprice,Internet,Lost,2018,GMC,Sierra 1500,07/09/2025 18:53 tt
Cargurus,Internet,Lost,2018,GMC,Sierra 1500,07/09/2025 19:30 tt
AutoTrader.com,Internet,Lost,2011,GMC,Sierra 2500HD,07/09/2025 21:08 tt
Dealeron - Get Eprice,Internet,Lost,2022,Nissan,Altima,07/09/2025 22:14 tt
AutoTrader.com,Internet,Lost,2016,Lexus,RX 350,07/10/2025 16:53 tt
"Carfax, Inc",Internet,Lost,2018,GMC,Sierra 1500,07/11/2025 03:24 tt
E-Shop - Dealer Site,Internet,Bad,2018,Jeep,Grand Cherokee,07/11/2025 14:07 tt
"Carfax, Inc",Internet,Lost,2011,GMC,Sierra 2500HD,07/12/2025 18:14 tt
AutoTrader.com,Internet,Lost,2024,Ram,2500,07/13/2025 12:09 tt
AutoTrader.com,Internet,Bad,2017,Jeep,Compass,07/13/2025 15:50 tt
E-Shop - Dealer Site,Internet,Lost,2024,Ram,2500,07/15/2025 16:01 tt
Truecar/Extended Network,Internet,Sold,2024,Subaru,Outback,07/21/2025 10:37 tt
E-Shop - Dealer Website - Get E-Price,Internet,Lost,2023,Jeep,Grand Cherokee L,07/22/2025 12:12 tt
E-Shop - Dealer Website - Get E-Price,Internet,Lost,2023,Jeep,Grand Cherokee L,07/22/2025 16:09 tt
AutoTrader.com,Internet,Lost,,,,07/22/2025 17:07 tt
Dealeron - Check Availability,Internet,Lost,2020,Jeep,Cherokee,07/22/2025 22:33 tt
E-Shop - Dealer Site,Internet,Lost,2024,Ford,Bronco,07/25/2025 23:42 tt
Referral,Internet,Lost,,,,07/26/2025 15:23 tt
"Carfax, Inc",Internet,Lost,2016,Lexus,RX 350,07/27/2025 13:43 tt
"Carfax, Inc",Internet,Lost,2020,Ram,1500,07/27/2025 21:38 tt
Dealeron - Get Eprice,Internet,Sold,2019,Ram,1500,07/28/2025 11:58 tt
Gubagoo - Chat,Internet,Lost,2023,Chevrolet,Equinox,07/29/2025 18:05 tt
"Carfax, Inc",Internet,Lost,2017,Jeep,Compass,07/31/2025 22:58 tt
